NAME,ELEVATION,MONTAIN RANGE,REGION,GEO_COORDINATES,LATITUDE,LONGITUDE,KGP,DIADEM,KGS,KS,KNSSP,TZK,KBW,KMSL,DOG_FRIENDLY
Maślak,720,Góry Kaczawskie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Baraniec,723,Góry Kaczawskie,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Poręba,671,Góry Kaczawskie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Krzyżna Góra,654,Rudawy Janowickie,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Trójgarb,778,Góry Wałbrzyskie,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Borowa,853,Góry Wałbrzyskie,Sudety Środkowe,,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,
Lesista Wielka,851,Góry Kamienne,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Szeroka,842,Góry Kamienne,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Jański Wierch,697,Góry Jastrzębie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Róg,715,Góry Stołowe,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Jagodna Płn.,980,Góry Bystrzyckie,Sudety Środkowe,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Włodarz,811,Góry Sowie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Szeroka Góra,770,Góry Bardzkie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Postawna,1117,Góry Złote i Bialskie,,"50,22075; 17,0113056","50,22075","17,0113056",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,
Suchoń,964,Masyw Śnieżnika,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Wielki Szyszak,1509,Karkonosze,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Jawornik Wielki,872,Góry Złote,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Borówkowa,900,Góry Złote,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Stożek Wielki,841,Góry Kamienne,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Kamienica,973,Góry Izerskie,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Czerniec,891,Góry Bystrzyckie,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Radunia,573,Masyw Ślęży,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE,
Kręglak,692,Góry Wałbrzyskie,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Kobyla Kopa,860,Góry Złote,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Góra Wszystkich Świętych,648,Góry Bardzkie,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Święta Góra Lubawska,701,Góry Kamienne,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Kalenica,964,Góry Sowie,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Luż,793,Góry Łużyckie,Sudety Zachodnie,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,
Jested,1012,Grzbiet Jesztiedzki,Sudety Zachodnie,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,
Zaltman,739,Góry Jastrzębie,Sudety Środkowe,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,
Velka Destna,1115,Góry Orlickie,Sudety Środkowe,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,
